T_anf;R_AB_CD;R_BC_DA;dR_BD_AC;T_end;f_kor
-180.42276138100158;14.34;6.06;-50.41;-173.42610412183592;0.9401563343653986
-170.98289269396602;16.01;6.48;-49.0;-162.41706120111385;0.9344744767128258
-161.023044195468;19.11;7.38;-47.9;-152.84890851590305;0.9280745761177109
-151.96005853021998;20.61;8.21;-47.9;-145.8409773090516;0.9323276113128451
-144.12469349850602;22.83;8.84;-48.230000000000004;-138.22419374736887;0.9284416227807635
-141.15409986024832;24.95;9.81;-49.04;-129.66543601696722;0.9305499973442621
-129.26612743161428;27.67;10.85;-49.86;-120.65842114992975;0.9301783625229029
-119.89205886544232;30.35;12.01;-50.74;-114.22514493310146;0.9314260436201379
-110.89078790534083;34.01;13.49;-52.089999999999996;-103.64647411277748;0.9317460771054351
-99.7537429933045;38.5;15.29;-52.419999999999995;-96.26804716995424;0.9319155644224526
-89.43990626360576;43.07;17.05;-52.48;-86.4262287021389;0.9314778630329491
-82.78987861964704;46.09;18.38;-53.94;-79.8516738872789;0.9324754096398049
-76.30389819385135;49.09;19.56;-53.910000000000004;-74.07018126253911;0.9323621516127013
-69.96931559657776;53.79;21.5;-56.14000000000001;-67.7858344106708;0.9327864784218738
-63.7747249099892;57.02;22.9;-56.68;-61.030046749103676;0.9334303097873828
-54.72302649096066;61.42;24.65;-57.279999999999994;-52.94493329100201;0.9333368464024185
-48.83535804186411;64.12;25.87;-56.86;-46.800546492052376;0.9340480964208507
-43.055535256616714;66.22;26.81;-56.91;-41.91184767144239;0.9345127057832964
-37.376136861371016;69.66;28.4;-57.02;-35.13095348147593;0.935443649564289
-31.790362829201317;71.43;29.38;-55.93000000000001;-29.856289611588227;0.9366161054372585
-26.5649022884411;73.33;20.29;-55.06;-25.202258615298582;0.8772098607775501
-20.60639994116007;75.39;31.65;-54.3;-19.801157966803867;0.9393009898190007
-12.891550294988757;78.1;33.43;-53.74;-11.839144869458584;0.9418041512668381
-7.6564134954226075;80.86;35.16;-52.86;-6.357894283333957;0.9438028250295218
-2.485912728247204;81.74;35.71;-50.11;-1.7156544173115684;0.9443944719792503
0.07639606027595222;81.54;35.82;-49.89;0.5870859942786875;0.9450872089330529
5.107040380307957;81.48;36.59;-48.00000000000001;5.410164110890539;0.9478113983511771
10.68366616857062;81.03;37.37;-45.849999999999994;10.933351690495273;0.9510329769675435
15.158903423748098;83.3;35.85;-42.550000000000004;15.65370675151154;0.942497546885995
23.92183003773197;78.13;37.43;-41.83;23.89748157784975;0.9554882731064334
24.16525608041924;80.52;35.68;-38.699999999999996;23.751368417848536;0.9461674442296308
24.38424869584426;78.08;37.42;-41.67;24.457227161130888;0.9555310664581771
24.724733488020863;78.04;37.41;-41.58;24.77335728748406;0.9555591857532002
25.210782253729043;78.03;37.28;-41.4;25.28365338577537;0.9551739594556986
25.720682877336056;77.99;37.36;-41.14;25.769220885697045;0.9554792735584126
26.205876350572122;77.95;37.34;-40.93000000000001;26.181626506808666;0.9554766960510297
26.71488515821243;77.85;37.34;-40.66;26.642197362097157;0.9556239296486996
27.1750273865037;77.75;37.32;-40.379999999999995;27.078185966583874;0.9557098087340161
29.855956361766836;77.33;37.11;-38.85;29.855956361766836;0.9556838858969766
34.63237220076814;76.11;36.65;-36.09;34.08222396236998;0.9560759793534709
39.23014683086206;74.08;35.67;-31.959999999999997;39.30135801909785;0.9560680637542245
